"GEO_ID","NAME","B18101_001E","B18101_001M","B18101_002E","B18101_002M","B18101_003E","B18101_003M","B18101_004E","B18101_004M","B18101_005E","B18101_005M","B18101_006E","B18101_006M","B18101_007E","B18101_007M","B18101_008E","B18101_008M","B18101_009E","B18101_009M","B18101_010E","B18101_010M","B18101_011E","B18101_011M","B18101_012E","B18101_012M","B18101_013E","B18101_013M","B18101_014E","B18101_014M","B18101_015E","B18101_015M","B18101_016E","B18101_016M","B18101_017E","B18101_017M","B18101_018E","B18101_018M","B18101_019E","B18101_019M","B18101_020E","B18101_020M","B18101_021E","B18101_021M","B18101_022E","B18101_022M","B18101_023E","B18101_023M","B18101_024E","B18101_024M","B18101_025E","B18101_025M","B18101_026E","B18101_026M","B18101_027E","B18101_027M","B18101_028E","B18101_028M","B18101_029E","B18101_029M","B18101_030E","B18101_030M","B18101_031E","B18101_031M","B18101_032E","B18101_032M","B18101_033E","B18101_033M","B18101_034E","B18101_034M","B18101_035E","B18101_035M","B18101_036E","B18101_036M","B18101_037E","B18101_037M","B18101_038E","B18101_038M","B18101_039E","B18101_039M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 5 years:","Margin of Error!!Total:!!Male:!!Under 5 years:","Estimate!!Total:!!Male:!!Under 5 years:!!With a disability","Margin of Error!!Total:!!Male:!!Under 5 years:!!With a disability","Estimate!!Total:!!Male:!!Under 5 years:!!No disability","Margin of Error!!Total:!!Male:!!Under 5 years:!!No disability","Estimate!!Total:!!Male:!!5 to 17 years:","Margin of Error!!Total:!!Male:!!5 to 17 years:","Estimate!!Total:!!Male:!!5 to 17 years:!!With a disability","Margin of Error!!Total:!!Male:!!5 to 17 years:!!With a disability","Estimate!!Total:!!Male:!!5 to 17 years:!!No disability","Margin of Error!!Total:!!Male:!!5 to 17 years:!!No disability","Estimate!!Total:!!Male:!!18 to 34 years:","Margin of Error!!Total:!!Male:!!18 to 34 years:","Estimate!!Total:!!Male:!!18 to 34 years:!!With a disability","Margin of Error!!Total:!!Male:!!18 to 34 years:!!With a disability","Estimate!!Total:!!Male:!!18 to 34 years:!!No disability","Margin of Error!!Total:!!Male:!!18 to 34 years:!!No disability","Estimate!!Total:!!Male:!!35 to 64 years:","Margin of Error!!Total:!!Male:!!35 to 64 years:","Estimate!!Total:!!Male:!!35 to 64 years:!!With a disability","Margin of Error!!Total:!!Male:!!35 to 64 years:!!With a disability","Estimate!!Total:!!Male:!!35 to 64 years:!!No disability","Margin of Error!!Total:!!Male:!!35 to 64 years:!!No disability","Estimate!!Total:!!Male:!!65 to 74 years:","Margin of Error!!Total:!!Male:!!65 to 74 years:","Estimate!!Total:!!Male:!!65 to 74 years:!!With a disability","Margin of Error!!Total:!!Male:!!65 to 74 years:!!With a disability","Estimate!!Total:!!Male:!!65 to 74 years:!!No disability","Margin of Error!!Total:!!Male:!!65 to 74 years:!!No disability","Estimate!!Total:!!Male:!!75 years and over:","Margin of Error!!Total:!!Male:!!75 years and over:","Estimate!!Total:!!Male:!!75 years and over:!!With a disability","Margin of Error!!Total:!!Male:!!75 years and over:!!With a disability","Estimate!!Total:!!Male:!!75 years and over:!!No disability","Margin of Error!!Total:!!Male:!!75 years and over:!!No disability","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 5 years:","Margin of Error!!Total:!!Female:!!Under 5 years:","Estimate!!Total:!!Female:!!Under 5 years:!!With a disability","Margin of Error!!Total:!!Female:!!Under 5 years:!!With a disability","Estimate!!Total:!!Female:!!Under 5 years:!!No disability","Margin of Error!!Total:!!Female:!!Under 5 years:!!No disability","Estimate!!Total:!!Female:!!5 to 17 years:","Margin of Error!!Total:!!Female:!!5 to 17 years:","Estimate!!Total:!!Female:!!5 to 17 years:!!With a disability","Margin of Error!!Total:!!Female:!!5 to 17 years:!!With a disability","Estimate!!Total:!!Female:!!5 to 17 years:!!No disability","Margin of Error!!Total:!!Female:!!5 to 17 years:!!No disability","Estimate!!Total:!!Female:!!18 to 34 years:","Margin of Error!!Total:!!Female:!!18 to 34 years:","Estimate!!Total:!!Female:!!18 to 34 years:!!With a disability","Margin of Error!!Total:!!Female:!!18 to 34 years:!!With a disability","Estimate!!Total:!!Female:!!18 to 34 years:!!No disability","Margin of Error!!Total:!!Female:!!18 to 34 years:!!No disability","Estimate!!Total:!!Female:!!35 to 64 years:","Margin of Error!!Total:!!Female:!!35 to 64 years:","Estimate!!Total:!!Female:!!35 to 64 years:!!With a disability","Margin of Error!!Total:!!Female:!!35 to 64 years:!!With a disability","Estimate!!Total:!!Female:!!35 to 64 years:!!No disability","Margin of Error!!Total:!!Female:!!35 to 64 years:!!No disability","Estimate!!Total:!!Female:!!65 to 74 years:","Margin of Error!!Total:!!Female:!!65 to 74 years:","Estimate!!Total:!!Female:!!65 to 74 years:!!With a disability","Margin of Error!!Total:!!Female:!!65 to 74 years:!!With a disability","Estimate!!Total:!!Female:!!65 to 74 years:!!No disability","Margin of Error!!Total:!!Female:!!65 to 74 years:!!No disability","Estimate!!Total:!!Female:!!75 years and over:","Margin of Error!!Total:!!Female:!!75 years and over:","Estimate!!Total:!!Female:!!75 years and over:!!With a disability","Margin of Error!!Total:!!Female:!!75 years and over:!!With a disability","Estimate!!Total:!!Female:!!75 years and over:!!No disability","Margin of Error!!Total:!!Female:!!75 years and over:!!No disability",
"1400000US06075010101","Census Tract 101.01; San Francisco County; California","2004","297","1077","173","22","27","0","14","22","27","0","14","0","14","0","14","347","158","0","14","347","158","517","107","24","30","493","108","70","66","52","60","18","26","121","54","99","52","22","26","927","187","40","42","0","14","40","42","21","27","0","14","21","27","273","130","16","26","257","121","388","76","0","14","388","76","112","75","70","66","42","40","93","57","89","58","4","10",
"1400000US06075010102","Census Tract 101.02; San Francisco County; California","1795","345","786","172","29","34","0","14","29","34","64","57","5","8","59","56","209","71","82","42","127","69","356","86","61","43","295","91","37","36","22","28","15","23","91","104","31","32","60","97","1009","285","16","19","0","14","16","19","158","123","8","16","150","119","144","76","12","20","132","72","449","180","166","164","283","85","123","73","39","55","84","52","119","71","58","67","61","52",
"1400000US06075010201","Census Tract 102.01; San Francisco County; California","2608","479","1325","366","14","26","0","14","14","26","139","109","34","41","105","100","556","242","5","9","551","242","377","113","27","42","350","110","165","149","0","14","165","149","74","36","11","17","63","31","1283","193","42","44","0","14","42","44","34","34","0","14","34","34","479","126","61","54","418","115","530","145","23","33","507","152","82","47","0","14","82","47","116","76","69","77","47","36",
"1400000US06075010202","Census Tract 102.02; San Francisco County; California","1761","320","957","186","14","22","0","14","14","22","23","22","0","14","23","22","240","116","0","14","240","116","478","169","0","14","478","169","72","61","0","14","72","61","130","69","23","27","107","64","804","218","46","55","0","14","46","55","19","30","0","14","19","30","368","193","25","37","343","183","219","66","15","31","204","62","41","41","1","2","40","41","111","63","24","27","87","61",
"1400000US06075010300","Census Tract 103; San Francisco County; California","3791","563","1657","307","0","14","0","14","0","14","84","60","0","14","84","60","476","240","0","14","476","240","656","215","0","14","656","215","252","154","132","115","120","89","189","121","105","84","84","92","2134","473","102","176","0","14","102","176","0","14","0","14","0","14","761","211","91","88","670","220","738","322","13","22","725","320","409","184","70","109","339","138","124","71","24","37","100","73",
"1400000US06075010401","Census Tract 104.01; San Francisco County; California","2393","735","1249","331","185","206","0","14","185","206","114","91","0","14","114","91","244","130","0","14","244","130","513","209","33","43","480","207","100","64","4","12","96","62","93","80","48","49","45","42","1144","487","226","272","0","14","226","272","93","67","0","14","93","67","193","105","0","14","193","105","452","176","45","46","407","174","107","57","0","14","107","57","73","84","22","26","51","81",
"1400000US06075010402","Census Tract 104.02; San Francisco County; California","2001","226","1110","200","0","14","0","14","0","14","75","63","0","14","75","63","270","110","0","14","270","110","603","157","33","48","570","164","45","41","9","15","36","39","117","79","8","14","109","78","891","149","32","47","0","14","32","47","28","25","0","14","28","25","344","129","0","14","344","129","356","105","0","14","356","105","34","35","0","14","34","35","97","70","40","59","57","46",
"1400000US06075010500","Census Tract 105; San Francisco County; California","3177","555","1675","367","52","66","0","14","52","66","246","168","0","14","246","168","403","123","0","14","403","123","567","164","49","44","518","154","188","99","32","42","156","91","219","115","62","32","157","109","1502","276","43","60","0","14","43","60","35","33","0","14","35","33","412","109","0","14","412","109","534","206","0","14","534","206","227","125","46","38","181","118","251","125","25","24","226","121",
"1400000US06075010600","Census Tract 106; San Francisco County; California","3293","385","1926","300","61","45","0","14","61","45","121","72","0","14","121","72","609","157","33","48","576","163","740","207","209","109","531","193","274","145","87","50","187","140","121","65","62","59","59","43","1367","267","22","36","0","14","22","36","88","59","0","14","88","59","421","159","6","10","415","159","578","125","18","22","560","123","105","81","0","14","105","81","153","71","101","63","52","57",
"1400000US06075010701","Census Tract 107.01; San Francisco County; California","3280","603","1428","375","0","14","0","14","0","14","115","73","0","14","115","73","189","151","0","14","189","151","614","225","57","45","557","226","291","120","101","76","190","95","219","141","99","83","120","117","1852","334","0","14","0","14","0","14","60","77","0","14","60","77","217","94","0","14","217","94","798","275","63","68","735","265","397","139","168","127","229","97","380","170","188","87","192","143",
"1400000US06075010702","Census Tract 107.02; San Francisco County; California","1380","249","530","145","22","34","0","14","22","34","82","43","0","14","82","43","57","40","0","14","57","40","273","102","10","14","263","104","50","41","33","36","17","21","46","40","25","27","21","29","850","167","38","55","0","14","38","55","28","29","0","14","28","29","269","131","23","30","246","135","375","132","25","23","350","131","90","56","0","14","90","56","50","39","9","15","41","36",
"1400000US06075010800","Census Tract 108; San Francisco County; California","4334","529","2286","356","22","40","0","14","22","40","51","23","0","14","51","23","822","157","23","38","799","154","985","297","109","114","876","277","157","98","68","74","89","63","249","95","120","89","129","75","2048","318","0","14","0","14","0","14","13","22","0","14","13","22","595","169","0","14","595","169","848","253","3","25","845","252","350","124","92","70","258","126","242","103","136","93","106","74",
"1400000US06075010901","Census Tract 109.01; San Francisco County; California","2069","276","781","172","0","14","0","14","0","14","31","38","0","14","31","38","269","115","0","14","269","115","330","106","55","72","275","98","93","52","0","14","93","52","58","26","43","22","15","20","1288","258","38","48","0","14","38","48","62","33","0","14","62","33","700","246","0","14","700","246","326","91","0","14","326","91","81","53","0","14","81","53","81","48","8","13","73","47",
"1400000US06075010902","Census Tract 109.02; San Francisco County; California","2568","582","1340","263","14","22","0","14","14","22","73","76","0","14","73","76","527","174","22","35","505","167","513","177","12","20","501","178","100","65","0","14","100","65","113","100","113","100","0","14","1228","505","11","18","0","14","11","18","73","20","0","14","73","20","584","467","0","14","584","467","368","124","13","22","355","119","84","65","37","37","47","54","108","47","59","45","49","40",
