"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No schooling completed","Margin of Error!!Total:!!No schooling completed","Estimate!!Total:!!Nursery school","Margin of Error!!Total:!!Nursery school","Estimate!!Total:!!Kindergarten","Margin of Error!!Total:!!Kindergarten","Estimate!!Total:!!1st grade","Margin of Error!!Total:!!1st grade","Estimate!!Total:!!2nd grade","Margin of Error!!Total:!!2nd grade","Estimate!!Total:!!3rd grade","Margin of Error!!Total:!!3rd grade","Estimate!!Total:!!4th grade","Margin of Error!!Total:!!4th grade","Estimate!!Total:!!5th grade","Margin of Error!!Total:!!5th grade","Estimate!!Total:!!6th grade","Margin of Error!!Total:!!6th grade","Estimate!!Total:!!7th grade","Margin of Error!!Total:!!7th grade","Estimate!!Total:!!8th grade","Margin of Error!!Total:!!8th grade","Estimate!!Total:!!9th grade","Margin of Error!!Total:!!9th grade","Estimate!!Total:!!10th grade","Margin of Error!!Total:!!10th grade","Estimate!!Total:!!11th grade","Margin of Error!!Total:!!11th grade","Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma","Estimate!!Total:!!Regular high school diploma","Margin of Error!!Total:!!Regular high school diploma","Estimate!!Total:!!GED or alternative credential","Margin of Error!!Total:!!GED or alternative credential","Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Master's degree","Margin of Error!!Total:!!Master's degree","Estimate!!Total:!!Professional school degree","Margin of Error!!Total:!!Professional school degree","Estimate!!Total:!!Doctorate degree","Margin of Error!!Total:!!Doctorate degree",
"0500000US06075","San Francisco County, California","661758","151","24987","1584","375","182","583","304","392","181","1326","272","1693","378","961","316","2816","549","6652","985","1437","256","4748","750","6536","827","3025","458","4077","572","13329","939","64028","2161","10564","946","21546","1261","57968","2369","35419","1536","231394","3924","110101","2689","33281","1940","24520","1044",
"1400000US06075010101","Census Tract 101.01; San Francisco County; California","1689","212","63","67","0","14","0","14","0","14","43","57","42","57","0","14","10","19","0","14","0","14","0","14","15","25","0","14","0","14","19","21","23","28","12","18","165","154","129","94","47","40","843","242","164","88","11","18","103","81",
"1400000US06075010102","Census Tract 101.02; San Francisco County; California","1529","245","133","105","0","14","0","14","0","14","0","14","8","12","0","14","0","14","0","14","0","14","0","14","29","50","0","14","0","14","19","20","150","77","37","47","41","43","196","177","132","62","382","90","274","81","113","94","15","17",
"1400000US06075010201","Census Tract 102.01; San Francisco County; California","2240","514","5","17","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","41","59","0","14","0","14","0","14","7","13","67","64","0","14","61","49","263","218","79","58","892","327","659","170","82","66","84","58",
"1400000US06075010202","Census Tract 102.02; San Francisco County; California","1567","309","10","22","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","1","2","22","24","0","14","51","71","107","112","7","11","749","193","504","156","115","70","1","2",
"1400000US06075010300","Census Tract 103; San Francisco County; California","3360","511","47","42","69","109","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","65","71","0","14","36","51","155","148","0","14","37","61","174","177","110","85","1526","346","670","327","232","112","239","150",
"1400000US06075010401","Census Tract 104.01; San Francisco County; California","1756","444","23","28","0","14","0","14","0","14","0","14","0","14","0","14","0","14","15","23","0","14","7","12","16","24","0","14","0","14","52","38","163","108","14","18","9","17","76","57","58","54","553","166","388","166","213","183","169","87",
"1400000US06075010402","Census Tract 104.02; San Francisco County; California","1727","224","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","63","66","46","44","0","14","36","45","108","81","25","25","607","246","558","144","161","88","123","99",
"1400000US06075010500","Census Tract 105; San Francisco County; California","2895","380","25","33","0","14","13","24","0","14","0","14","6","17","0","14","0","14","43","55","0","14","57","52","106","86","7","13","0","14","52","53","352","215","0","14","53","45","123","90","25","28","875","227","806","282","267","136","85","57",
"1400000US06075010600","Census Tract 106; San Francisco County; California","2513","344","249","105","0","14","0","14","0","14","5","12","5","12","0","14","0","14","0","14","0","14","15","27","77","87","11","18","0","14","39","35","245","121","34","66","256","130","434","156","63","45","578","112","345","151","96","82","61","56",
"1400000US06075010701","Census Tract 107.01; San Francisco County; California","2777","554","623","211","0","14","0","14","0","14","86","87","41","65","0","14","158","134","287","202","45","57","0","14","137","100","36","45","0","14","70","70","561","469","100","82","78","62","142","69","86","84","240","119","73","56","0","14","14","23",
"1400000US06075010702","Census Tract 107.02; San Francisco County; California","1088","245","5","9","0","14","0","14","0","14","0","14","0","14","0","14","66","33","0","14","24","39","9","20","24","35","23","31","17","18","31","35","206","160","14","20","27","20","50","38","38","43","406","144","92","60","12","15","44","48",
