"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"1400000US06075010101","Census Tract 101.01; San Francisco County; California","1216","150","78","67","103","64","54","80","100","81","0","14","0","14","7","15","0","14","47","67","29","32","143","99","56","57","195","123","63","49","149","77","192","101",
"1400000US06075010102","Census Tract 101.02; San Francisco County; California","930","211","54","52","74","99","0","14","35","38","56","46","125","183","0","14","19","23","15","20","9","19","19","23","56","42","61","46","68","31","30","34","309","76",
"1400000US06075010201","Census Tract 102.01; San Francisco County; California","1399","179","49","41","6","11","12","20","7","13","63","57","18","22","44","40","16","26","0","14","7","13","88","60","36","33","35","28","204","110","301","146","513","112",
"1400000US06075010202","Census Tract 102.02; San Francisco County; California","1099","174","141","166","0","14","2","9","9","14","0","14","62","46","14","24","17","22","28","49","11","24","13","20","12","17","74","63","58","49","133","90","525","145",
"1400000US06075010300","Census Tract 103; San Francisco County; California","2060","340","72","58","64","62","40","47","0","14","75","121","25","41","64","62","20","34","0","14","0","14","65","59","213","160","139","77","168","129","451","306","664","201",
"1400000US06075010401","Census Tract 104.01; San Francisco County; California","953","209","48","33","31","37","32","43","0","14","8","13","14","18","0","14","42","31","0","14","0","14","95","76","57","62","32","29","69","51","75","53","450","179",
"1400000US06075010402","Census Tract 104.02; San Francisco County; California","1233","131","0","14","6","16","40","60","54","55","34","51","0","14","9","15","58","56","0","14","46","34","45","53","65","41","71","54","99","92","69","75","637","152",
"1400000US06075010500","Census Tract 105; San Francisco County; California","1848","227","120","86","64","102","0","14","58","48","0","14","37","44","33","37","5","10","20","29","40","44","33","30","256","136","50","41","75","60","187","79","870","187",
"1400000US06075010600","Census Tract 106; San Francisco County; California","1723","237","127","77","97","80","217","141","67","47","18","25","25","29","55","40","110","100","44","39","75","60","22","22","201","103","101","74","100","69","96","60","368","105",
"1400000US06075010701","Census Tract 107.01; San Francisco County; California","1792","258","377","144","288","159","85","72","153","123","68","69","204","145","21","24","82","71","51","47","75","56","228","170","15","23","102","84","13","21","21","25","9","14",
"1400000US06075010702","Census Tract 107.02; San Francisco County; California","660","115","31","25","55","49","34","25","0","14","7","11","67","51","0","14","0","14","3","8","27","39","81","65","79","55","14","17","34","42","47","31","181","77",
"1400000US06075010800","Census Tract 108; San Francisco County; California","2402","358","112","81","105","70","16","27","26","30","71","80","108","95","20","32","52","53","16","26","177","207","56","54","254","135","203","111","55","51","231","139","900","260",
"1400000US06075010901","Census Tract 109.01; San Francisco County; California","1058","117","21","32","25","23","0","14","19","22","35","31","59","57","14","17","18","24","0","14","11","18","39","32","100","92","31","31","81","49","135","72","470","140",
