"GEO_ID","NAME","B28011_001E","B28011_001M","B28011_002E","B28011_002M","B28011_003E","B28011_003M","B28011_004E","B28011_004M","B28011_005E","B28011_005M","B28011_006E","B28011_006M","B28011_007E","B28011_007M","B28011_008E","B28011_008M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!With an Internet subscription","Margin of Error!!Total:!!With an Internet subscription","Estimate!!Total:!!With an Internet subscription!!Dial-up alone","Margin of Error!!Total:!!With an Internet subscription!!Dial-up alone","Estimate!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic, or DSL","Margin of Error!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic, or DSL","Estimate!!Total:!!With an Internet subscription!!Satellite Internet service","Margin of Error!!Total:!!With an Internet subscription!!Satellite Internet service","Estimate!!Total:!!With an Internet subscription!!Other service","Margin of Error!!Total:!!With an Internet subscription!!Other service","Estimate!!Total:!!Internet access without a subscription","Margin of Error!!Total:!!Internet access without a subscription","Estimate!!Total:!!No Internet access","Margin of Error!!Total:!!No Internet access",
"1400000US06075010101","Census Tract 101.01; San Francisco County; California","1212","143","994","132","0","14","894","125","76","60","0","14","46","70","172","86",
"1400000US06075010102","Census Tract 101.02; San Francisco County; California","907","200","790","147","0","14","695","148","62","47","48","46","117","161","0","14",
"1400000US06075010201","Census Tract 102.01; San Francisco County; California","1375","174","1298","202","13","21","1264","202","22","29","11","19","71","74","6","10",
"1400000US06075010202","Census Tract 102.02; San Francisco County; California","1091","139","1077","142","0","14","957","149","33","41","0","14","14","24","0","14",
"1400000US06075010300","Census Tract 103; San Francisco County; California","2143","355","1960","369","0","14","1738","393","0","14","0","14","53","61","130","136",
"1400000US06075010401","Census Tract 104.01; San Francisco County; California","944","203","902","197","0","14","834","196","58","58","0","14","26","41","16","16",
"1400000US06075010402","Census Tract 104.02; San Francisco County; California","1202","141","1100","144","0","14","997","142","48","60","0","14","68","53","34","44",
"1400000US06075010500","Census Tract 105; San Francisco County; California","1738","213","1627","207","0","14","1575","210","33","43","0","14","92","57","19","20",
"1400000US06075010600","Census Tract 106; San Francisco County; California","1836","250","1434","187","0","14","1160","160","69","47","38","58","57","60","345","181",
"1400000US06075010701","Census Tract 107.01; San Francisco County; California","1834","237","1004","256","9","19","628","198","47","46","15","25","138","86","692","205",
"1400000US06075010702","Census Tract 107.02; San Francisco County; California","674","95","637","106","0","14","481","98","0","14","0","14","0","14","37","44",
"1400000US06075010800","Census Tract 108; San Francisco County; California","2382","349","2165","355","0","14","2020","342","82","95","87","62","12","20","205","97",
"1400000US06075010901","Census Tract 109.01; San Francisco County; California","1071","126","1044","127","0","14","956","130","18","21","0","14","0","14","27","27",
