"Label (Grouping)","Census Tract 230.01; San Francisco County; California!!Estimate","Census Tract 230.01; San Francisco County; California!!Margin of Error","Census Tract 230.03; San Francisco County; California!!Estimate","Census Tract 230.03; San Francisco County; California!!Margin of Error","Census Tract 231.02; San Francisco County; California!!Estimate","Census Tract 231.02; San Francisco County; California!!Margin of Error","Census Tract 231.03; San Francisco County; California!!Estimate","Census Tract 231.03; San Francisco County; California!!Margin of Error","Census Tract 232; San Francisco County; California!!Estimate","Census Tract 232; San Francisco County; California!!Margin of Error","Census Tract 233; San Francisco County; California!!Estimate","Census Tract 233; San Francisco County; California!!Margin of Error","Census Tract 234; San Francisco County; California!!Estimate","Census Tract 234; San Francisco County; California!!Margin of Error","Census Tract 610; San Francisco County; California!!Estimate","Census Tract 610; San Francisco County; California!!Margin of Error","Census Tract 612; San Francisco County; California!!Estimate","Census Tract 612; San Francisco County; California!!Margin of Error","Census Tract 9806; San Francisco County; California!!Estimate","Census Tract 9806; San Francisco County; California!!Margin of Error","Census Tract 9809; San Francisco County; California!!Estimate","Census Tract 9809; San Francisco County; California!!Margin of Error"
"Total:","5,108","±785","3,812","±447","3,231","±709","4,545","±645","3,570","±739","3,818","±517","3,536","±794","4,295","±578","4,086","±803","1,295","±182","439","±157"
"    Not Hispanic or Latino:","4,333","±761","3,257","±437","2,137","±456","3,453","±690","2,446","±716","3,119","±474","2,385","±715","3,740","±576","2,372","±500","1,109","±165","416","±160"
"        White alone","529","±317","439","±121","36","±58","56","±108","308","±171","394","±120","114","±70","560","±280","372","±189","238","±124","80","±63"
"        Black or African American alone","302","±171","324","±187","1,291","±399","2,145","±629","808","±346","398","±251","905","±346","628","±253","820","±229","285","±105","60","±74"
"        American Indian and Alaska Native alone","15","±24","0","±14","0","±14","0","±14","0","±14","0","±14","5","±8","0","±14","0","±14","0","±14","0","±14"
"        Asian alone","3,341","±612","2,287","±419","378","±226","598","±320","1,166","±671","2,083","±438","955","±543","2,431","±432","1,124","±477","473","±146","241","±136"
"        Native Hawaiian and Other Pacific Islander alone","0","±19","25","±44","0","±14","413","±267","8","±14","0","±14","5","±12","0","±14","0","±14","0","±14","0","±14"
"        Some other race alone","0","±19","0","±14","0","±14","0","±14","8","±14","17","±28","15","±28","26","±40","0","±14","22","±31","0","±14"
"        Two or more races:","146","±139","182","±111","432","±276","241","±158","148","±112","227","±130","386","±306","95","±98","56","±51","91","±51","35","±30"
"            Two races including Some other race","101","±132","21","±31","55","±49","50","±85","57","±94","18","±26","20","±34","0","±14","0","±14","0","±14","4","±6"
"            Two races excluding Some other race, and three or more races","45","±51","161","±107","377","±276","191","±140","91","±73","209","±128","366","±292","95","±98","56","±51","91","±51","31","±29"
"    Hispanic or Latino:","775","±316","555","±324","1,094","±634","1,092","±455","1,124","±371","699","±221","1,151","±295","555","±242","1,714","±730","186","±123","23","±21"
"        White alone","34","±34","0","±14","99","±112","0","±14","156","±246","134","±100","11","±18","85","±122","58","±76","8","±11","12","±13"
"        Black or African American alone","0","±19","0","±14","279","±413","94","±154","0","±14","21","±33","0","±14","0","±14","0","±14","0","±14","0","±14"
"        American Indian and Alaska Native alone","119","±181","0","±14","0","±14","48","±90","8","±15","0","±14","0","±14","0","±14","0","±14","45","±73","0","±14"
"        Asian alone","0","±19","0","±14","0","±14","36","±55","2","±6","12","±19","16","±28","0","±14","0","±14","0","±14","0","±14"
"        Native Hawaiian and Other Pacific Islander alone","0","±19","0","±14","0","±14","86","±118","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14"
"        Some other race alone","482","±228","374","±234","638","±422","639","±352","879","±258","447","±231","812","±246","175","±134","1,435","±748","71","±60","11","±15"
"        Two or more races:","140","±150","181","±245","78","±73","189","±147","79","±80","85","±70","312","±212","295","±187","221","±166","62","±56","0","±14"
"            Two races including Some other race","140","±150","181","±245","68","±71","171","±151","62","±75","37","±41","269","±201","253","±165","221","±166","56","±55","0","±14"
"            Two races excluding Some other race, and three or more races","0","±19","0","±14","10","±17","18","±32","17","±22","48","±56","43","±52","42","±65","0","±14","6","±10","0","±14"
