quarter,Bayview Hunters Point,Excelsior,Inner Richmond,Mission,Outer Richmond,Sunset-Parkside,Tenderloin
2019 Q1,2949031.4,162835.22,630450.66,3551567.39,534103.93,823591.72,2129438.95
2019 Q2,3397922.89,173095.9,691382.42,3731289.83,558399.57,766165.91,2655256.68
2019 Q3,3603746.6,172197.92,711369.32,3923585.21,567121.06,743125.87,2120191.41
2019 Q4,3238831.7,171801.77,695014.63,4010635.39,596952.85,792780.84,1562631.89
2020 Q1,2207370.5394741874,86620.43821405187,421706.9215300932,2058869.7226310752,241862.44608410975,390797.5281651976,1108613.3750813396
2020 Q2,2723089.163357796,152946.10644573052,582684.9805176551,2570416.4813203015,414674.2711912085,694315.4258410686,756247.9570200583
2020 Q3,2955838.10718361,147619.28011211008,563759.002640349,2797597.1251111496,362808.0332422392,654120.7791343939,586204.5413873137
2020 Q4,2394881.0287958104,130287.3886082296,557606.7454875343,2440951.309047352,316981.54395409906,577091.6401515699,448779.2519295592
2021 Q1,2257953.955525319,115781.82909795867,565179.1549389339,2563079.5325748175,309540.5538000657,538761.2622091763,561014.2179769478
2021 Q2,3052535.0660638353,172774.59838278807,718621.9627276072,3164658.577731103,447335.06030754955,698287.5952838097,755027.5084142201
2021 Q3,2952167.834791258,153995.31702741425,681429.8588792607,2808322.468454085,425917.0634106668,717989.0138725529,737622.9948601947
2021 Q4,2668290.7299853656,145937.00398670023,697528.3648561343,3170062.9781246902,462891.8907771106,741191.7132620999,869233.2057589256
2022 Q1,2444668.814327592,147344.97658509098,673863.2917069675,2976939.6450953726,376966.36537397734,655165.7347891508,686508.5998342979
2022 Q2,2646246.8032417963,164455.681672972,698694.6385641099,3301723.258981779,417234.5070091221,751979.9308518077,870790.7053433385
2022 Q3,2582531.214937165,148035.43745502146,699687.7476728727,3246311.1981206033,441564.03424459585,721300.9006931755,1361355.3048526996
2022 Q4,2509453.220967058,161279.52558785968,794700.6991271474,3227237.828719293,432928.5083946266,747568.7581849546,900606.8070560686
2023 Q1,2335509.7535518627,153074.35607025007,686499.301037252,2845150.6129167494,380355.1956532024,696191.360766509,857700.2836484713
2023 Q2,2857141.0317957187,143650.126175629,627339.9932045268,2987935.13991426,425364.5522420184,714010.0067914418,1454865.5266934112
2023 Q3,2526824.2730733724,149878.73777087554,472551.17971220554,3024129.2647296367,405723.2409768056,707489.5479346241,984307.4146728768
2023 Q4,2399314.991647878,142281.05830961122,688696.9800487048,3415441.1692735357,400324.3605444896,664948.2265255292,926636.8875697808
2024 Q1,2234864.1143130385,147267.54658606867,605774.7392142336,2564464.591467669,391985.82903922745,711254.9203804926,955335.3212925348
2024 Q2,2318855.6857428495,143743.4240789687,600339.2928157555,2804806.329032227,397367.5928591071,703006.6413625209,1994372.7876091667
2024 Q3,2212481.8820215603,131791.06140383318,596619.0449317002,2831972.6904332056,376659.98314673913,707759.7286847808,845950.0460925276
2024 Q4,2113442.7964279396,153321.7105860807,671456.7164001204,2885994.593190031,391825.86667251785,698148.5476850494,805420.6119214207
2025 Q1,1970069.5777371412,134433.8683149103,587260.306231289,2924642.7878439897,374058.0454721872,660742.2185009959,1708463.1622253351
2025 Q2,2150578.4814099353,151745.3655600956,654357.3518508438,2871946.179151571,369760.10214195144,691719.0468257477,1237093.694872629
2025 Q3,2106876.1247143163,137219.3218560037,613393.0059389471,2831696.1651091133,387150.93561905785,692727.505316718,876574.9256046182
