"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No schooling completed","Margin of Error!!Total:!!No schooling completed","Estimate!!Total:!!Nursery school","Margin of Error!!Total:!!Nursery school","Estimate!!Total:!!Kindergarten","Margin of Error!!Total:!!Kindergarten","Estimate!!Total:!!1st grade","Margin of Error!!Total:!!1st grade","Estimate!!Total:!!2nd grade","Margin of Error!!Total:!!2nd grade","Estimate!!Total:!!3rd grade","Margin of Error!!Total:!!3rd grade","Estimate!!Total:!!4th grade","Margin of Error!!Total:!!4th grade","Estimate!!Total:!!5th grade","Margin of Error!!Total:!!5th grade","Estimate!!Total:!!6th grade","Margin of Error!!Total:!!6th grade","Estimate!!Total:!!7th grade","Margin of Error!!Total:!!7th grade","Estimate!!Total:!!8th grade","Margin of Error!!Total:!!8th grade","Estimate!!Total:!!9th grade","Margin of Error!!Total:!!9th grade","Estimate!!Total:!!10th grade","Margin of Error!!Total:!!10th grade","Estimate!!Total:!!11th grade","Margin of Error!!Total:!!11th grade","Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma","Estimate!!Total:!!Regular high school diploma","Margin of Error!!Total:!!Regular high school diploma","Estimate!!Total:!!GED or alternative credential","Margin of Error!!Total:!!GED or alternative credential","Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Master's degree","Margin of Error!!Total:!!Master's degree","Estimate!!Total:!!Professional school degree","Margin of Error!!Total:!!Professional school degree","Estimate!!Total:!!Doctorate degree","Margin of Error!!Total:!!Doctorate degree",
"0500000US06075","San Francisco County, California","669238","166","24717","1181","294","126","545","342","395","177","939","236","1938","347","866","245","3356","422","6867","759","1236","288","5300","713","6779","641","3608","484","4693","614","13438","1030","65015","2308","10761","1054","21599","1359","58996","2398","35545","1373","234704","3755","111703","2658","33093","1522","22851","1287",
"1400000US06075010101","Census Tract 101.01; San Francisco County; California","1742","195","12","16","0","14","0","14","0","14","18","28","17","27","0","14","17","31","0","14","0","14","0","14","15","24","0","14","0","14","23","31","19","22","0","14","80","111","93","68","72","57","984","224","324","107","10","21","58","57",
"1400000US06075010102","Census Tract 101.02; San Francisco County; California","1419","260","155","128","0","14","0","14","0","14","0","14","13","17","0","14","0","14","0","14","0","14","0","14","29","50","0","14","0","14","18","19","72","55","17","33","8","14","253","162","125","71","296","102","267","101","139","101","27","25",
"1400000US06075010201","Census Tract 102.01; San Francisco County; California","2230","480","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","53","75","0","14","0","14","0","14","3","8","26","32","0","14","67","54","298","195","80","59","831","335","634","161","134","78","104","81",
"1400000US06075010202","Census Tract 102.02; San Francisco County; California","1573","288","1","19","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","1","2","33","36","0","14","38","61","101","111","25","30","734","194","532","154","89","59","19","28",
"1400000US06075010300","Census Tract 103; San Francisco County; California","3455","514","49","55","0","14","0","14","0","14","0","14","0","14","0","14","50","75","0","14","0","14","0","14","0","14","57","60","0","14","0","14","164","138","0","14","0","14","168","192","166","107","1554","326","824","369","248","142","175","103",
"1400000US06075010401","Census Tract 104.01; San Francisco County; California","1696","438","20","38","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","9","14","0","14","0","14","17","26","58","47","179","112","16","23","0","14","68","62","31","46","475","191","390","165","265","186","168","138",
"1400000US06075010402","Census Tract 104.02; San Francisco County; California","1736","194","113","65","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","43","51","15","17","0","14","20","24","165","110","28","33","769","241","346","125","122","77","115","94",
"1400000US06075010500","Census Tract 105; San Francisco County; California","2664","398","7","14","0","14","9","19","0","14","0","14","10","17","0","14","0","14","68","61","0","14","43","43","68","77","6","11","0","14","32","33","340","236","0","14","45","45","66","41","27","23","767","192","905","276","209","120","62","49",
"1400000US06075010600","Census Tract 106; San Francisco County; California","2777","343","252","139","0","14","0","14","0","14","10","15","16","18","0","14","0","14","40","37","0","14","25","27","39","45","16","20","0","14","46","35","262","107","36","51","221","115","463","172","64","51","715","179","406","138","98","70","68","46",
"1400000US06075010701","Census Tract 107.01; San Francisco County; California","2951","540","494","197","0","14","0","14","0","14","33","47","20","33","0","14","171","148","279","214","0","14","154","165","179","106","75","74","0","14","96","79","692","500","62","60","88","74","107","78","107","90","255","119","127","67","12","26","0","14",
"1400000US06075010702","Census Tract 107.02; San Francisco County; California","1079","247","4","8","0","14","0","14","0","14","0","14","0","14","0","14","81","67","8","17","18","29","0","14","0","14","16","20","22","21","32","37","228","176","23","39","22","21","54","37","58","58","390","167","69","58","11","14","43","48",
