"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"1400000US06075010101","Census Tract 101.01; San Francisco County; California","1212","143","30","32","26","26","56","66","158","101","0","14","0","14","68","59","0","14","33","47","12","22","123","87","55","45","193","130","81","57","138","83","239","94",
"1400000US06075010102","Census Tract 101.02; San Francisco County; California","907","200","74","68","77","101","0","14","38","45","27","34","179","161","0","14","17","22","0","14","15","28","0","14","21","28","68","43","33","37","57","47","301","85",
"1400000US06075010201","Census Tract 102.01; San Francisco County; California","1375","174","56","40","5","9","13","21","10","19","52","37","27","28","32","31","0","14","0","14","0","14","68","59","46","32","38","29","149","108","261","162","618","138",
"1400000US06075010202","Census Tract 102.02; San Francisco County; California","1091","139","65","82","0","14","8","13","0","14","38","44","21","28","14","24","42","54","21","32","2","20","15","23","44","47","0","14","30","34","236","126","555","151",
"1400000US06075010300","Census Tract 103; San Francisco County; California","2143","355","108","90","94","87","58","67","0","14","76","119","41","48","44","58","0","14","0","14","0","14","125","130","147","112","58","57","112","92","327","270","953","210",
"1400000US06075010401","Census Tract 104.01; San Francisco County; California","944","203","84","56","73","64","0","14","0","14","0","14","7","14","0","14","57","46","17","26","6","11","28","37","91","77","9","16","42","46","58","44","472","191",
"1400000US06075010402","Census Tract 104.02; San Francisco County; California","1202","141","0","14","25","32","55","73","45","52","40","59","49","74","7","13","32","31","0","14","47","35","31","41","76","60","81","57","66","64","92","70","556","138",
"1400000US06075010500","Census Tract 105; San Francisco County; California","1738","213","46","53","97","110","0","14","52","42","0","14","65","63","6","9","16","18","33","32","24","21","92","57","202","126","86","64","103","61","159","73","757","173",
"1400000US06075010600","Census Tract 106; San Francisco County; California","1836","250","71","49","144","105","191","134","77","63","31","30","36","32","64","39","131","99","9","13","80","65","11","17","224","123","175","93","121","68","82","59","389","127",
"1400000US06075010701","Census Tract 107.01; San Francisco County; California","1834","237","250","135","337","173","97","78","214","109","98","102","179","139","14","23","113","83","34","42","194","157","92","66","27","34","85","74","8","16","51","46","41","38",
"1400000US06075010702","Census Tract 107.02; San Francisco County; California","674","95","32","27","95","79","0","14","0","14","29","30","13","13","0","14","11","16","29","42","61","67","57","53","97","59","10","15","8","14","70","51","162","78",
"1400000US06075010800","Census Tract 108; San Francisco County; California","2382","349","107","67","130","94","17","26","106","72","0","14","124","87","14","24","43","49","176","208","30","34","48","55","248","127","103","65","40","39","276","163","920","250",
"1400000US06075010901","Census Tract 109.01; San Francisco County; California","1071","126","22","33","25","31","21","24","10","17","31","29","48","47","9","14","7","14","0","14","13","16","10","18","54","64","65","40","101","53","134","73","521","124",
"1400000US06075010902","Census Tract 109.02; San Francisco County; California","1452","223","0","14","116","101","36","30","34","36","42","45","13","20","55","55","0","14","27","29","49","47","0","14","79","58","131","82","192","182","246","164","432","131",
"1400000US06075011001","Census Tract 110.01; San Francisco County; California","1405","216","89","123","143","94","20","22","102","61","10","18","0","14","6","11","52","35","0","14","10","15","79","84","143","84","102","89","62","54","134","73","453","120",
"1400000US06075011002","Census Tract 110.02; San Francisco County; California","1129","269","75","59","35","53","0","14","88","92","2","9","54","37","41","57","0","14","21","25","0","14","104","98","53","54","26","31","37","37","152","179","441","147",
"1400000US06075011101","Census Tract 111.01; San Francisco County; California","1473","227","90","73","6","11","0","14","60","74","39","40","17","26","34","34","28","30","36","32","36","35","169","154","173","101","157","90","99","66","166","84","363","115",
"1400000US06075011102","Census Tract 111.02; San Francisco County; California","1312","287","17","27","106","84","56","71","44","42","51","48","21","25","0","14","23","34","0","14","66","58","20","32","169","85","315","226","42","36","240","171","142","75",
"1400000US06075011200","Census Tract 112; San Francisco County; California","1633","227","90","64","133","118","95","71","15","23","10","17","40","38","0","14","58","54","20","25","98","68","28","26","108","75","142","117","38","37","200","104","558","156",
"1400000US06075011300","Census Tract 113; San Francisco County; California","1333","165","63","45","286","131","86","77","62","41","81","77","81","71","43","29","12","20","0","14","74","66","75","44","77","53","93","57","53","58","45","37","202","88",
"1400000US06075011700","Census Tract 117; San Francisco County; California","1111","151","17","27","93","87","97","95","78","86","45","39","96","91","0","14","33","38","36","60","103","82","13","20","75","53","90","61","69","65","60","47","206","85",
