"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino:","Margin of Error!!Total:!!Not Hispanic or Latino:","Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Estimate!!Total:!!Hispanic or Latino:","Margin of Error!!Total:!!Hispanic or Latino:","Estimate!!Total:!!Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"1400000US06075010101","Census Tract 101.01; San Francisco County; California","1911","285","1538","215","717","166","113","124","47","62","561","156","0","14","62","72","38","34","0","14","38","34","373","177","51","54","0","14","15","25","0","14","58","87","121","123","128","93","112","86","16","30",
"1400000US06075010102","Census Tract 101.02; San Francisco County; California","1917","339","1805","338","617","172","385","322","0","14","770","192","12","19","0","14","21","22","0","14","21","22","112","126","13","16","0","14","0","14","0","14","0","14","79","124","20","23","20","23","0","14",
"1400000US06075010201","Census Tract 102.01; San Francisco County; California","2650","532","2306","534","1711","472","153","114","55","66","189","86","0","14","10","16","188","152","9","14","179","151","344","230","83","71","0","14","0","14","0","14","0","14","15","27","246","222","190","151","56","82",
"1400000US06075010202","Census Tract 102.02; San Francisco County; California","1839","311","1788","323","1240","323","30","49","0","14","277","180","18","38","42","69","181","107","59","77","122","77","51","44","0","14","0","14","0","14","0","14","0","14","30","33","21","33","21","33","0","14",
"1400000US06075010300","Census Tract 103; San Francisco County; California","3824","551","3389","588","2238","458","0","14","0","14","925","319","0","14","141","222","85","70","16","26","69","65","435","212","45","51","0","14","75","121","0","14","0","14","15","25","300","179","300","179","0","14",
"1400000US06075010401","Census Tract 104.01; San Francisco County; California","2427","739","1960","401","1266","327","7","20","4","9","585","157","0","14","0","14","98","82","5","13","93","78","467","511","4","9","0","14","1","9","0","14","0","14","72","69","390","503","71","82","319","429",
"1400000US06075010402","Census Tract 104.02; San Francisco County; California","1924","254","1842","256","1292","234","31","39","0","14","431","139","0","14","14","23","74","84","0","14","74","84","82","76","0","14","0","14","0","14","0","14","0","14","27","51","55","57","55","57","0","14",
"1400000US06075010500","Census Tract 105; San Francisco County; California","3473","506","3349","512","1432","375","31","44","0","14","1760","417","0","14","0","14","126","121","24","99","102","72","124","76","43","46","0","14","0","14","0","14","0","14","53","59","28","31","19","28","9","15",
"1400000US06075010600","Census Tract 106; San Francisco County; California","2957","407","2567","375","787","202","104","68","0","14","1480","316","0","14","9","15","187","99","15","23","172","100","390","172","148","98","0","14","13","20","0","14","0","14","18","22","211","150","197","149","14","23",
"1400000US06075010701","Census Tract 107.01; San Francisco County; California","3021","616","2983","619","124","52","0","14","0","14","2784","623","0","14","15","23","60","65","0","14","60","65","38","44","25","39","0","14","0","14","0","14","0","14","13","20","0","14","0","14","0","14",
"1400000US06075010702","Census Tract 107.02; San Francisco County; California","1398","257","1190","224","415","121","0","14","0","14","707","189","0","14","0","14","68","45","10","17","58","43","208","160","8","14","0","14","37","58","0","14","0","14","163","113","0","14","0","14","0","14",
"1400000US06075010800","Census Tract 108; San Francisco County; California","4047","537","3776","565","1732","386","277","238","0","14","1446","342","0","14","91","86","230","190","65","87","165","166","271","129","52","60","0","14","0","14","0","14","0","14","147","109","72","78","0","14","72","78",
"1400000US06075010901","Census Tract 109.01; San Francisco County; California","2067","334","1786","271","1351","250","13","21","0","14","205","81","0","14","34","53","183","111","23","28","160","107","281","162","115","107","0","14","16","27","0","14","0","14","0","14","150","125","88","84","62","61",
"1400000US06075010902","Census Tract 109.02; San Francisco County; California","2589","528","2285","419","1563","374","0","14","0","14","571","226","0","14","0","14","151","163","15","25","136","156","304","185","146","154","0","14","0","14","0","14","0","14","55","58","103","86","103","86","0","14",
"1400000US06075011001","Census Tract 110.01; San Francisco County; California","2402","421","2260","407","1428","336","90","148","0","14","696","173","0","14","18","21","28","32","0","14","28","32","142","109","0","14","0","14","0","14","0","14","0","14","29","34","113","113","113","113","0","14",
"1400000US06075011002","Census Tract 110.02; San Francisco County; California","1992","449","1689","434","897","207","0","14","0","14","620","338","0","14","0","14","172","151","0","14","172","151","303","172","104","90","0","14","0","14","0","14","0","14","91","68","108","87","99","86","9","14",
